ibge_code,municipality,uf,bioma,is_canavieiro,is_treated_ever,treatment_year,log_pib_total,log_pib_per_capita,log_population_2017,log_total_area_ha,population_density,share_vabc_agriculture,share_vabc_industry,share_vabc_services,share_vabc_public_admin,mb_share_sugarcane_baseline,mb_share_soybean_baseline,mb_share_pasture_baseline,mb_share_native_veg_baseline,mb_share_urban_baseline,mb_share_silviculture_baseline,mb_share_agriculture_total_baseline,log_sugarcane_area_ha,log_soybean_area_ha,log_maize_area_ha,log_cotton_area_ha,log_agriculture_total_area_ha,share_sugarcane_of_agriculture,share_family_farms,share_medium_large_farms,share_family_farms_area,share_medium_large_farms_area,tractors_per_farm,share_irrigated_farms,share_irrigated_area,share_financed_farms,share_tech_assistance,share_natural_vegetation_area,pct_farms_with_energy,hdim_education,hdim_income,hdim_longevity,social_vulnerability_infrastructure,social_vulnerability_human_capital,social_vulnerability_income_work,gini_index
4207858,,,,False,False,,10.461587907067887,9.776506090775339,7.59337419312129,4.338074747144699,26.2572789835892,0.24904571548796248,0.0737879835291996,0.29391962970755314,0.3832466712752848,0.0,0.22,0.18,0.27,0.0,0.03,0.02,3.044522437723423,6.68586094706836,5.303304908059076,0.0,7.098375638590786,0.016542597187758478,0.8370607028753994,0.17252396166134185,0.7994441193680515,0.21489174956114687,0.25878594249201275,0.009584664536741214,0.002047981275599766,0.402555910543131,0.4185303514376997,0.2223398623610376,0.95,0.609,0.694,0.836,0.249,0.278,0.31,0.45
4207908,,,,False,False,,12.608580050610552,10.198691266386755,9.317758768743452,6.376743954556734,18.96560535595646,0.4507816526370039,0.04944097549688145,0.318147874164268,0.18162949770184658,0.0,0.29,0.02,0.36,0.0,0.09,0.04,0.0,9.32375833901174,7.8636512654486515,0.0,9.927594627879362,0.0,0.9038062283737024,0.10380622837370242,0.4140267235430651,0.5208790749221086,0.9972318339100346,0.04982698961937716,0.015557367793739414,0.44844290657439445,0.7508650519031141,0.33423621403383247,0.98,0.567,0.72,0.836,0.153,0.412,0.305,0.54
4208005,,,,False,False,,12.389023171148427,10.552473837310304,8.744488113852924,5.111083765393062,38.064907491659085,0.19332813020597994,0.26289941989694154,0.35933071351306944,0.18444173638400904,0.0,0.07,0.13,0.32,0.01,0.04,0.0,2.9444389791664403,3.9318256327243257,6.621405651764134,0.0,6.903747257584598,0.018090452261306532,0.8233387358184765,0.21393841166936792,0.7552151851155797,0.3089644803608344,0.2965964343598055,0.02106969205834684,0.0024431497838752116,0.47649918962722854,0.747163695299838,0.14680012132241432,0.95,0.698,0.747,0.879,0.074,0.187,0.194,0.45
4208104,,,,False,False,,13.464708335788224,10.396413936414287,9.976133742520982,7.167855443847843,16.59336759100659,0.3273009686198923,0.22209528580548793,0.2961407935290937,0.15446295204552604,0.0,0.2,0.02,0.54,0.0,0.13,0.03,0.0,9.90353755128617,8.517393171418904,0.0,10.441792147290403,0.0,0.865774378585086,0.13919694072657743,0.458269189778083,0.3988466001942069,0.7445506692160612,0.08030592734225621,0.0029486298936598535,0.3407265774378585,0.6726577437858509,0.4797617394256439,0.92,0.606,0.7,0.836,0.066,0.325,0.313,0.49
4208203,,,,False,False,,16.90346652575,11.543997684524639,12.267243000759978,5.668086209997927,737.0181641708264,0.004013891464834032,0.17575170725218348,0.727549631129774,0.09268477015320851,0.0,0.0,0.07,0.37,0.16,0.02,0.09,0.0,0.0,0.0,0.0,7.606387389772652,0.0,0.6666666666666666,0.33962264150943394,0.2369892880841786,0.6914399469143995,0.6320754716981132,0.22955974842767296,0.11631434259171486,0.08176100628930817,0.32075471698113206,0.33728508042151967,0.93,0.73,0.778,0.884,0.041,0.238,0.166,0.45
4208302,,,,False,False,,14.345233693650725,10.231351414620741,11.021706370843155,4.080583646972063,1051.6844276383638,0.004184596179670231,0.22168259226118406,0.5731711896736364,0.20096162188550923,0.0,0.0,0.01,0.6,0.19,0.02,0.04,0.0,0.0,0.0,0.0,5.8664680569332965,0.0,0.6086956521739131,0.391304347826087,0.2121390689451974,0.788450206246317,0.4057971014492754,0.17391304347826086,0.12080141426045964,0.08695652173913043,0.34782608695652173,0.5672052251632863,0.87,0.727,0.788,0.881,0.002,0.251,0.175,0.49
4208401,,,,False,False,,13.533065415492466,10.718697486570514,9.722205455316836,5.6369301676683605,59.66738197424892,0.18068180816912743,0.323584265603844,0.3746934447848166,0.12104048144221195,0.0,0.2,0.07,0.34,0.01,0.0,0.01,5.303304908059076,7.313886831633462,7.824445930877619,0.0,8.542080906924017,0.03902439024390244,0.8641114982578397,0.18815331010452963,0.8050350179822071,0.2988832102971796,0.4895470383275261,0.03397212543554007,0.005867878099564641,0.4625435540069686,0.6846689895470384,0.22460658082975676,0.97,0.723,0.766,0.842,0.044,0.183,0.19,0.45
4208450,,,,False,False,,13.479724485878323,10.516806585736159,9.87075772791321,5.5334290136381,76.8025078369906,0.020126808341758874,0.06725157250533093,0.7283983281205215,0.1842248659000211,0.0,0.0,0.01,0.77,0.05,0.01,0.01,0.0,0.0,0.0,0.0,5.916202062607435,0.0,0.4725274725274725,0.5384615384615384,0.04625346901017576,0.9545688148833384,0.42857142857142855,0.12087912087912088,0.012950971322849213,0.0989010989010989,0.4175824175824176,0.6979881750724178,0.95,0.682,0.739,0.874,0.111,0.296,0.233,0.47
4208500,,,,False,False,,13.631417032160115,10.427801794482674,10.111436244467795,5.820972742067605,73.21439191198334,0.16870490787026657,0.21963675692786577,0.45901578801588033,0.15264122822058376,0.0,0.19,0.06,0.32,0.02,0.02,0.15,1.0986122886681096,8.160803920954665,7.601402334583733,0.0,9.604272564270623,0.00013488905375328792,0.9039715471250741,0.1078838174273859,0.829073482428115,0.19720447284345047,1.2406639004149378,0.42857142857142855,0.17192492012779553,0.4588026081802015,0.7237700059276823,0.27237585489146593,0.97,0.638,0.749,0.876,0.027,0.234,0.286,0.43
4208609,,,,False,False,,11.859927779493178,10.476160579628198,8.291797105048733,5.216836124680153,21.761658031088082,0.44045961002785516,0.11634068063461306,0.2677727988373501,0.17542691050018167,0.0,0.14,0.04,0.42,0.0,0.16,0.0,0.0,6.2166061010848646,8.101980731853192,0.0,8.333270353255308,0.0,0.8562628336755647,0.1704312114989733,0.5885140786172289,0.44410370783384445,0.6611909650924025,0.024640657084188913,0.001045441873431837,0.48254620123203285,0.7227926078028748,0.31088082901554404,0.96,0.657,0.746,0.801,0.408,0.252,0.364,0.45
