geocode,intensity_pre_kgco2_ton,intensity_pos_kgco2_ton,delta_intensity_kgco2_ton,delta_relativo_pct,termo_escala_tco2e,termo_intensidade_tco2e,termo_interacao_tco2e
3526704,22.94540674062494,21.645458305895378,-1.2999484347295613,-5.665397216201869,8500.411768681244,-2305.198559305931,-481.5820917085633
3526803,19.944893181826753,19.128451919741327,-0.8164412620854264,-4.093485257817002,12473.975383565938,-2444.196535130383,-510.6203433899935
3527405,21.917591988757422,20.751842925996304,-1.165749062761119,-5.318782571365902,2620.2373233303215,-667.0999011650504,-139.36472608171755
3527603,15.678465997795191,15.048613561810923,-0.6298524359842688,-4.017309066287752,11136.391104516717,-2141.498282346514,-447.3832494990128
3528007,20.066797675695376,19.28336367306509,-0.7834340026302868,-3.9041306704316407,5031.623738413513,-940.3088273169756,-196.4411655921211
3528809,42.448855765215384,37.624647319443454,-4.82420844577193,-11.364754971146047,12344.321171462985,-6715.298156514526,-1402.901853988073
3528858,20.809714816574214,19.899061348738233,-0.9106534678359814,-4.376097778671515,1748.9530466646258,-366.3558901104153,-76.53589542509849
3529203,176.52186319921194,163.59896397892655,-12.922899220285387,-7.3208490926143135,11151.730844712629,-3907.884724214301,-816.4013863559351
3529500,20.60121189631672,19.483073072918295,-1.118138823398425,-5.427539064332116,2890.019514982652,-750.8302199120424,-156.85693814250496
3529609,22.31835241158915,21.147328694521256,-1.171023717067893,-5.246909339328385,2064.020571215916,-518.3887790716149,-108.29728811678699
3530102,25.515373131564505,24.159645508955368,-1.3557276226091375,-5.313375648549685,8630.15923815915,-2194.963692832872,-458.55277939140933
3530201,25.68625567841016,23.856667280208274,-1.829588398201885,-7.122830283666811,7776.066179017693,-2651.2492294807585,-553.875996677045
3530508,24.3202249967681,22.761233193113195,-1.558991803654905,-6.410268835350324,8459.482873834368,-2595.721353085417,-542.2755942932024
3531407,21.475589537174386,20.27405368370543,-1.2015358534689575,-5.594891126919198,6460.551250589588,-1730.2116289952987,-361.4608086693042
3531902,20.777297136380284,19.794785369933557,-0.9825117664467271,-4.728775643904062,35237.094153716855,-7976.030520014531,-1666.2831259605052
3532207,24.186984288751752,23.216743687404758,-0.970240601346994,-4.011416180553803,7271.476643367785,-1396.234439774405,-291.6891906372459
3532900,23.4326224073105,22.257736740007022,-1.174885667303478,-5.0138889573748155,2794.137836521483,-670.5953667551427,-140.09496843918222
3533205,20.61789429529047,19.66296186481005,-0.9549324304804188,-4.631571084824817,2882.45297106962,-639.0407824774962,-133.50285834173437
3533502,20.527486162688316,19.591662119711625,-0.9358240429766909,-4.55888283426388,15438.327801228963,-3368.966554716087,-703.8152760276155
3533908,20.014324742553462,19.135840314463938,-0.878484428089525,-4.389278376310819,15052.388960194154,-3162.54394112229,-660.6912537479988
3534005,20.796611018243812,19.76992516182491,-1.0266858564189008,-4.936794055138318,2993.0277455074356,-707.2838864869807,-147.75961580885146
3534203,16.42868808589732,15.641631467537069,-0.7870566183602516,-4.790745397594316,4185.0817036998715,-959.7210992961236,-200.49660910556335
3534708,22.92542827117203,21.629653364790908,-1.2957749063811228,-5.652129552626578,6398.613896338578,-1731.1552749251803,-361.65794699342376
3534757,22.91753603378659,21.540158629690616,-1.3773774040959736,-6.010146125941943,2763.479418996951,-795.022237644196,-166.0891512420482
3535002,17.589948788835137,16.77829089546929,-0.8116578933658474,-4.61432777951594,12861.588446695414,-2840.8026267804657,-593.4758485828792
3535507,22.955889314012335,21.680288743362507,-1.2756005706498286,-5.556746476692578,16619.286119653876,-4420.495556343041,-923.4915959053255
3535705,19.419313858331126,18.568307629630755,-0.8510062287003706,-4.382267236158183,2775.943843632564,-582.3010119882285,-121.64927755366003
3536000,25.50817585284818,23.458106542299294,-2.050069310548885,-8.036910684540304,3117.433927969807,-1199.2905466710977,-250.54538044048988
3536307,21.5669193099631,20.520664854005002,-1.046254455958099,-4.851200307847256,6758.360622172836,-1569.3816839371486,-327.86161130827634
3536406,22.346965000215,21.30947184648579,-1.037493153729212,-4.642657979368699,3968.2540096132125,-881.8691806698303,-184.23246141892614
3537404,22.660544936608694,21.40415252713703,-1.2563924094716654,-5.544405101405708,8947.344161357118,-2374.5816539014477,-496.0770061226098
3539301,24.083470580246555,22.568549991098962,-1.514920589147593,-6.2902918584755065,9622.380021749166,-2897.2856267447714,-605.2757870996616
3539509,19.987947508646574,19.166517568382126,-0.8214299402644478,-4.109626263072314,12422.73324164007,-2443.7540722867325,-510.5279078898549
3539608,19.399070110906138,18.465766505977047,-0.9333036049290904,-4.811073930829231,3890.578073874527,-895.9714607319268,-187.17858747073538
3540200,20.971064487704133,20.02392678224584,-0.9471377054582923,-4.51640261758588,9171.204687701333,-1982.700187098171,-414.20852857950194
3540309,21.67783429627621,20.44521490926187,-1.2326193870143385,-5.686081783668198,3885.6633345568716,-1057.5874340583023,-220.94199504091253
