geocode,delta_queima,delta_cana_dir,delta_fert_n,delta_calagem,delta_res_outros,balanco_liquido_total,balanco_so_robustos
3540903,93.0690331037973,2483.9272027878833,1415.3639920712255,123.94178581326864,-18.34509988690657,4097.9569138892675,4004.887880785471
3541406,26.828116772457975,724.1587397793452,410.90848034112105,49.69315896537555,-126.83624128696566,1084.752254571334,1057.924137798876
3541604,111.18818918630342,2948.859914515642,1721.3637823310253,211.41813345691685,-187.78755125196747,4805.04246823792,4693.854279051616
3541703,152.07979308203548,4022.5793856872565,2262.0447236016535,239.09018161292246,-148.8025743541532,6526.991509629715,6374.91171654768
3541802,67.84378783239251,1836.0093727188025,1061.7067454731662,102.82779773611006,-50.05813768035169,3018.3295660801195,2950.485778247727
3542107,38.31304616267438,1019.6030394000221,575.310058038745,56.68539185555658,-4.772164666117015,1685.139370790881,1646.8263246282067
3544004,82.27447865130142,2186.775485562852,1228.987826771928,132.92222099499367,-9.055599164951602,3621.9044128161227,3539.6299341648214
3545506,131.2609720261359,3613.6862604654816,2236.3442444078564,269.05599511985463,-71.16521384602552,6179.182258173303,6047.921286147167
3545704,38.63611825410513,1020.1853615281248,584.0371748770118,45.933366181457984,-56.012722613984195,1632.7792982267158,1594.1431799726104
3547502,104.11523393175506,2792.9966272427378,1594.1737043673354,170.31378550025545,-78.39582195522787,4583.203529086855,4479.0882951551
3549102,52.919955880378424,1405.3013736671667,819.0466530460709,154.2925721065276,-209.73248907581126,2221.8280656243323,2168.908109743954
3549409,152.130322671649,4048.3397221080804,2288.273339783679,264.1874360951081,-113.53425322642933,6639.396567432087,6487.266244760438
3550100,164.25287432142986,4336.274751518118,2431.7329816935844,268.45616874070214,-20.708252074654723,7180.00852419918,7015.75564987775
3551306,41.11782693599979,1099.9222056234755,625.5545374818079,60.538081169133925,-24.51796238309148,1802.6146888273254,1761.4968618913256
3551504,41.64164840222245,1105.2507998365577,625.9485410196643,63.558260304309485,-19.566970876868123,1816.832278685886,1775.1906302836635
3551702,184.66180354996968,4934.03827279269,2793.2626405306933,263.42847409904806,-124.94153584504818,8050.449655127353,7865.787851577383
3551900,43.943872253342604,1172.5910972972076,667.3539137515047,70.90253747071198,-16.84888755278465,1937.9425332199821,1893.9986609666396
3552304,74.3070792988598,2008.854691475956,1152.5603829976742,129.45692255011923,-94.42924526212127,3270.749831060488,3196.442751761628
3552551,48.454195282568215,1298.8586287274602,749.335815873095,80.29933870273364,-97.15646602461085,2079.7915125612462,2031.3373172786783
3553401,175.7533436894233,4689.816739547923,2673.1109646421933,275.17547113918613,-137.46919007373415,7676.387328944991,7500.633985255568
3553955,133.11866272360913,3557.077342614797,2067.8133755317594,265.1408120085407,-175.60083053033856,5847.549362348368,5714.430699624759
3555356,85.67421871760708,2301.198938143077,1325.3352018899516,119.10919321220106,-71.48141749221304,3759.836134470624,3674.161915753017
3556305,278.03745376289936,7489.412093059298,4313.30549431703,367.1561689021884,-46.99081790834389,12400.920392133074,12122.882938370174
3556909,32.89562046640568,879.4515473800731,489.35947852447384,49.961484588359745,-14.133153192742967,1437.5349777665692,1404.6393573001637
4102109,40.76616422474768,302.36985357118283,1469.1365285304664,293.56647002253095,-784.545570059133,1321.2934462897952,1280.5272820650475
4102406,169.66269511213397,1215.0076453319627,4097.756456040274,234.23936974835095,-498.4458478696999,5218.220318363023,5048.557623250888
4105607,122.65398401002396,892.075089831615,2851.5570672922004,48.232538798314444,-116.82613481625732,3797.6925451158963,3675.0385611058728
4105904,351.42922303567946,2554.8360020702276,8046.390003542346,99.61579492827049,-92.10706467854793,10960.163958897974,10608.734735862296
4108007,135.01442827918686,970.3166453536701,3295.6580458824947,131.60252347633104,-309.87666836329606,4222.714974628387,4087.700546349199
4111555,249.53996861790594,1796.9973839722115,5924.681266467611,88.01276644655331,-96.94250234912407,7962.288883155158,7712.748914537252
4111803,558.1179923324207,3944.281065812549,12556.631627013001,180.4904627328517,-255.7786259177203,16983.7425219731,16425.62452964068
