treatment,snapshot,outcome,spec,ATT_mean,SE_mean,CI_lo,CI_hi,dose_slope,n_strata,n_munis,time_s
T2,2025,log_solos_manejados,LEAN,0.054976477992285985,0.033160127193621276,-0.010017371307211712,0.11997032729178368,-0.0005954122181661117,5,841,14.697494268417358
T2,2025,log_solos_manejados,FULL,0.0647049900741188,0.03531068531307565,-0.004503953139509478,0.1339139332877471,0.0004281184117402031,5,841,18.561244249343872
T2,2025,log_solos_manejados,FULL2,0.05469577656722489,0.03795323969543624,-0.019692573235830145,0.1290841263702799,0.0028445091960749643,5,841,18.98968529701233
T2,2025,log_solos_manejados,RICH,0.04994245251798219,0.0426416762400398,-0.03363523291249581,0.13352013794846018,-0.008078957178917587,5,841,30.40638756752014
T2,2025,log1p_residuos_florestais,LEAN,0.22139132765433467,0.18491841920387425,-0.14104877398525884,0.5838314292939282,-0.0021955372502198175,5,842,14.480108976364136
T2,2025,log1p_residuos_florestais,FULL,0.1513859785922878,0.22734079532199897,-0.29420198023883015,0.5969739374234058,-0.005082852900265471,5,842,21.81760883331299
T2,2025,log1p_residuos_florestais,FULL2,0.028776337229670722,0.2098755053984083,-0.3825796533512095,0.44013232781055095,-0.019412352872399036,5,842,19.538386344909668
T2,2025,log1p_residuos_florestais,RICH,0.1590291449871446,0.2501474655943627,-0.3312598875778063,0.6493181775520955,0.033302361615673674,5,842,31.461316108703613
T2,2026,asinh_luc,LEAN,-0.006939255983473079,0.07248215732743782,-0.1490042843452512,0.13512577237830503,-0.013868575421591338,5,842,10.33015251159668
T2,2026,asinh_luc,FULL,-0.017137753231328413,0.08684923856802466,-0.18736226082465673,0.15308675436199992,-0.00865941643853475,5,842,22.369935750961304
T2,2026,asinh_luc,FULL2,-0.02991054316787598,0.07883348937517183,-0.18442418234321276,0.1246030960074608,-0.006241832295094318,5,842,18.00909733772278
T2,2026,asinh_luc,RICH,0.0378952226983632,0.10955901651229227,-0.17684044966572965,0.25263089506245606,-0.004542413949309063,5,842,33.34028720855713
T2,2026,asinh_carbono_solo,LEAN,0.03365748836989878,0.07234246428853772,-0.10813374163563515,0.1754487183754327,-0.025420534082578036,5,842,14.081813097000122
T2,2026,asinh_carbono_solo,FULL,0.008763289717330074,0.09624502975784022,-0.17987696860803676,0.19740354804269689,-0.016488788451661237,5,842,19.461958169937134
T2,2026,asinh_carbono_solo,FULL2,-0.009492477027442346,0.07894301097990299,-0.1642207785480522,0.1452358244931675,-0.015295060945662426,5,842,18.51003360748291
T2,2026,asinh_carbono_solo,RICH,0.043321344901832835,0.10992881540853296,-0.17213913329889174,0.25878182310255743,0.010591829511005168,5,842,32.9613471031189
