event_time,ATT,SE,CI_lo,CI_hi,zero_not_in_cband,outcome,spec,n_munis
5,-0.018158928893341725,0.26992688709993096,-0.5472059060682157,0.5108880482815323,,asinh_carbono_solo,FULL2,842
-4,-0.16884304995423033,0.07911885512363503,-0.3239131564945973,-0.013772943413863342,*,log1p_queima,FULL2,842
-3,-0.030108711398033377,0.059374234598777095,-0.14648007282126846,0.08626265002520171,,log1p_queima,FULL2,842
-2,0.014829601545468588,0.0681685524097488,-0.11877830605587017,0.14843750914680734,,log1p_queima,FULL2,842
-1,0.14346296076936127,0.11329591957603642,-0.07859296119501658,0.3655188827337391,,log1p_queima,FULL2,842
0,0.017612596824346027,0.09952454489060934,-0.17745192673898816,0.2126771203876802,,log1p_queima,FULL2,842
1,0.12747440578155145,0.15573391138315432,-0.17775845170098337,0.43270726326408626,,log1p_queima,FULL2,842
2,0.2403268222224062,0.16101798551067908,-0.07526263024171709,0.5559162746865295,,log1p_queima,FULL2,842
3,0.1868194723152858,0.18363912023028023,-0.17310658948868426,0.5467455341192559,,log1p_queima,FULL2,842
4,0.541325107098465,0.22499662698983214,0.10033982155540139,0.9823103926415286,*,log1p_queima,FULL2,842
5,0.07934806501798192,0.1796903935501503,-0.27283863470814107,0.4315347647441049,,log1p_queima,FULL2,842
-4,-0.009585655435987979,0.01926568351319754,-0.047345701259402254,0.028174390387426293,,log_solos_manejados,FULL2,841
-3,-0.00726993514980185,0.02651248949039937,-0.059233459691481305,0.044693589391877606,,log_solos_manejados,FULL2,841
-2,0.04564989851991667,0.02603933706746673,-0.005386264313616947,0.09668606135345029,,log_solos_manejados,FULL2,841
-1,-0.003343998751433873,0.012247700946217941,-0.02734905149943818,0.020661053996570432,,log_solos_manejados,FULL2,841
0,0.023649590736995997,0.016563023253026832,-0.008813338314036037,0.05611251978802803,,log_solos_manejados,FULL2,841
1,0.04194093490848494,0.019914270310781218,0.0029096823209584857,0.0809721874960114,*,log_solos_manejados,FULL2,841
2,0.05973116537106407,0.022064467651458662,0.016485603436156022,0.10297672730597213,*,log_solos_manejados,FULL2,841
3,0.06801443658600982,0.023528076460763447,0.021900254097408846,0.1141286190746108,*,log_solos_manejados,FULL2,841
4,0.0948695981215945,0.03172633197955935,0.03268713008009682,0.15705206616309217,*,log_solos_manejados,FULL2,841
5,0.04154519681554192,0.09820913656012824,-0.15094117379508531,0.23403156742616915,,log_solos_manejados,FULL2,841
-4,-0.026421211894269412,0.04732852198530696,-0.11918341042698319,0.06634098663844437,,asinh_cana_direto,FULL2,842
-3,-0.02659613351407307,0.044667831835910464,-0.11414347517994922,0.06095120815180308,,asinh_cana_direto,FULL2,842
-2,0.08565254972239464,0.0406170389175044,0.00604461628542427,0.165260483159365,*,asinh_cana_direto,FULL2,842
-1,0.01876954086497936,0.027770732742838918,-0.03566009513527215,0.07319917686523086,,asinh_cana_direto,FULL2,842
0,0.06869194683183319,0.03425564913134374,0.0015521082673586734,0.1358317853963077,*,asinh_cana_direto,FULL2,842
1,0.10658559716056841,0.03784630359972145,0.032408205157145764,0.18076298916399106,*,asinh_cana_direto,FULL2,842
2,0.1825468129299063,0.06930679366279935,0.04670799346687071,0.3183856323929419,*,asinh_cana_direto,FULL2,842
3,0.3368444030139645,0.17363274638035966,-0.0034695264283178817,0.6771583324562469,,asinh_cana_direto,FULL2,842
4,0.4168055047383966,0.22033750169840058,-0.015048063034001524,0.8486590725107948,,asinh_cana_direto,FULL2,842
5,0.003431535008532674,0.2706412755433758,-0.5270156177864649,0.5338786878035302,,asinh_cana_direto,FULL2,842
-4,-0.026378248076261827,0.02849244626223283,-0.08222241658168106,0.0294659204291574,,log1p_fert_n,FULL2,842
-3,-0.010945073677377822,0.03661776661389534,-0.0827145774349059,0.06082443008015026,,log1p_fert_n,FULL2,842
-2,0.061571751133194,0.032925387958882765,-0.002960823443224979,0.12610432570961297,,log1p_fert_n,FULL2,842
-1,0.005664746733667162,0.019313681278319002,-0.03218937298072359,0.043518866448057913,,log1p_fert_n,FULL2,842
0,0.044081506041665136,0.029546363066179755,-0.013828301442191625,0.1019913135255219,,log1p_fert_n,FULL2,842
1,0.07963058631490863,0.0340137200620503,0.012964920013062556,0.14629625261675472,*,log1p_fert_n,FULL2,842
2,0.14666548036164892,0.05652645818231563,0.03587565815070083,0.257455302572597,*,log1p_fert_n,FULL2,842
3,0.16331013023579263,0.06372778856974659,0.03840595982470599,0.28821430064687925,*,log1p_fert_n,FULL2,842
4,0.2106240431284736,0.09681485948379247,0.02087040537193427,0.4003776808850129,*,log1p_fert_n,FULL2,842
5,0.03919577675021409,0.10145307084772705,-0.15964858823232142,0.23804014173274957,,log1p_fert_n,FULL2,842
-4,0.018462344042239075,0.018676085421937695,-0.018142110756952348,0.055066798841430495,,log1p_calagem,FULL2,842
-3,-0.009953714769900302,0.021202242521578745,-0.05150934650367835,0.031601916963877735,,log1p_calagem,FULL2,842
-2,0.02821259178616831,0.019314179868805556,-0.009642505147619124,0.06606768871995575,,log1p_calagem,FULL2,842
-1,0.0008867117173199466,0.012701325673056254,-0.024007429157784275,0.025780852592424165,,log1p_calagem,FULL2,842
0,0.017855136150049144,0.018531996366685673,-0.01846690929028191,0.054177181590380194,,log1p_calagem,FULL2,842
1,0.0024852100157289024,0.020974295480848167,-0.03862365372783472,0.04359407375929253,,log1p_calagem,FULL2,842
2,0.04625812459853897,0.022252365936024057,0.002644288793125893,0.08987196040395205,*,log1p_calagem,FULL2,842
3,0.0486644734488218,0.023988492932893807,0.0016478912569563228,0.09568105564068727,*,log1p_calagem,FULL2,842
4,0.09051433972757263,0.028029777859687414,0.0355769846279271,0.14545169482721815,*,log1p_calagem,FULL2,842
5,-0.07833385582499124,0.28361836223238995,-0.6342156311547106,0.47754791950472814,,log1p_calagem,FULL2,842
-4,0.02506329377212549,0.022220752004039127,-0.018488579865187427,0.0686151674094384,,log1p_res_outros,FULL2,842
-3,0.04093907424704228,0.030460573976480127,-0.01876255369527679,0.10064070218936136,,log1p_res_outros,FULL2,842
-2,-0.012883639637300109,0.018367007779522118,-0.048882313388930454,0.023115034114330232,,log1p_res_outros,FULL2,842
-1,0.023999127968121224,0.026025643287331694,-0.027010195549535515,0.07500845148577796,,log1p_res_outros,FULL2,842
0,-0.024786805506867515,0.019340249776834212,-0.0626929985214714,0.013119387507736356,,log1p_res_outros,FULL2,842
1,-0.08922354406792601,0.03974142069474277,-0.16711529732407662,-0.011331790811775405,*,log1p_res_outros,FULL2,842
2,-0.07173128348396972,0.035276421604104574,-0.14087179933146537,-0.0025907676364740756,*,log1p_res_outros,FULL2,842
3,-0.05643363467648223,0.03918230626733533,-0.1332295437916775,0.02036227443871305,,log1p_res_outros,FULL2,842
4,-0.03753677237248111,0.04562459363320872,-0.12695933270284565,0.05188578795788343,,log1p_res_outros,FULL2,842
5,-0.20236235259248747,0.20068018720283778,-0.5956882919208053,0.19096358673583042,,log1p_res_outros,FULL2,842
-4,-0.035279949410152625,0.04188953200787753,-0.11738192347483041,0.04682202465452516,,log1p_pam_area_cana_t,FULL2,842
-3,-0.021748587756312738,0.04237107493301945,-0.10479436861127873,0.061297193098653266,,log1p_pam_area_cana_t,FULL2,842
-2,0.06453976374338838,0.03625137511768858,-0.0065116258773327135,0.13559115336410948,,log1p_pam_area_cana_t,FULL2,842
-1,0.03292145987917854,0.024574994715999807,-0.015244644684443212,0.0810875644428003,,log1p_pam_area_cana_t,FULL2,842
0,0.05414246675421826,0.03217132131613766,-0.008912164360477287,0.1171970978689138,,log1p_pam_area_cana_t,FULL2,842
1,0.088984989290396,0.03541963178071273,0.01956378665452875,0.15840619192626326,*,log1p_pam_area_cana_t,FULL2,842
2,0.1753589203655056,0.06692070193674743,0.04419675474934079,0.3065210859816704,*,log1p_pam_area_cana_t,FULL2,842
3,0.3154311577778834,0.16802517805161843,-0.013892139699218709,0.6447544552549855,,log1p_pam_area_cana_t,FULL2,842
4,0.3696039366800657,0.21328587492019715,-0.0484286965746355,0.7876365699347669,,log1p_pam_area_cana_t,FULL2,842
5,-0.026266962902029914,0.2724931187856811,-0.5603436617569597,0.5078097359528999,,log1p_pam_area_cana_t,FULL2,842
-4,0.21437235621720682,0.16443397851557728,-0.10791231950795768,0.5366570319423714,,asinh_pam_area_soja_t,FULL2,842
-3,0.18331262830704456,0.14694568743682615,-0.1046956267526146,0.47132088336670375,,asinh_pam_area_soja_t,FULL2,842
-2,0.04304001690774781,0.09894394446873037,-0.1508865507392948,0.23696658455479042,,asinh_pam_area_soja_t,FULL2,842
-1,0.04996999062284426,0.12231358582618727,-0.1897602324164316,0.2897002136621201,,asinh_pam_area_soja_t,FULL2,842
0,0.11573205515242843,0.10380693312076915,-0.08772579510983719,0.31918990541469405,,asinh_pam_area_soja_t,FULL2,842
1,-0.005162780759025841,0.15738893285631733,-0.3136394207226006,0.30331385920454895,,asinh_pam_area_soja_t,FULL2,842
2,0.23167129585252755,0.16573363828126464,-0.09316066620553992,0.5565032579105951,,asinh_pam_area_soja_t,FULL2,842
3,0.16316590891373606,0.16146969356462834,-0.15330887506765445,0.47964069289512656,,asinh_pam_area_soja_t,FULL2,842
4,0.20144472487011306,0.19533876802791642,-0.18141222524902734,0.5843016749892535,,asinh_pam_area_soja_t,FULL2,842
5,0.018549996894882674,0.258827959635429,-0.48874348218254493,0.5258434759723103,,asinh_pam_area_soja_t,FULL2,842
-4,0.09182046997735857,0.08791742275160361,-0.08049451222936685,0.26413545218408396,,asinh_pam_area_milho_t,FULL2,842
