geocode,treated,in_LEAN_std_crump_2.5,in_LEAN_std_trim_5_95,in_LEAN_std_minmax,in_LEAN_std_kennedy_1,in_LEAN_lasso_crump_2.5,in_LEAN_lasso_trim_5_95,in_LEAN_lasso_minmax,in_LEAN_lasso_kennedy_1,in_FULL_std_crump_2.5,in_FULL_std_trim_5_95,in_FULL_std_minmax,in_FULL_std_kennedy_1,in_FULL_lasso_crump_2.5,in_FULL_lasso_trim_5_95,in_FULL_lasso_minmax,in_FULL_lasso_kennedy_1,in_FULL2_std_crump_2.5,in_FULL2_std_trim_5_95,in_FULL2_std_minmax,in_FULL2_std_kennedy_1,in_FULL2_lasso_crump_2.5,in_FULL2_lasso_trim_5_95,in_FULL2_lasso_minmax,in_FULL2_lasso_kennedy_1,in_RICH_std_crump_2.5,in_RICH_std_trim_5_95,in_RICH_std_minmax,in_RICH_std_kennedy_1,in_RICH_lasso_crump_2.5,in_RICH_lasso_trim_5_95,in_RICH_lasso_minmax,in_RICH_lasso_kennedy_1
3143302,0,1,0,1,1,1,0,1,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,1
3143450,0,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0,1
3144300,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
3145000,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
3145307,0,1,0,0,1,1,0,0,1,1,0,1,1,1,0,1,1,1,0,0,1,1,0,0,1,1,0,0,1,1,0,1,1
3145851,0,1,0,1,1,1,0,1,1,1,0,1,1,1,0,1,1,1,0,0,1,1,0,0,1,1,0,1,1,1,0,1,1
3146008,0,1,0,0,1,1,0,1,1,1,0,1,1,1,0,1,1,1,0,0,1,1,0,0,1,1,0,0,1,1,0,1,1
3147006,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
3147907,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
3148004,0,1,0,0,1,1,0,1,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,0,1,1
3149200,0,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0,1
