geocode,treated,pscore_LEAN_std,wipw_LEAN_std,watt_LEAN_std,pscore_LEAN_lasso,wipw_LEAN_lasso,watt_LEAN_lasso,pscore_FULL_std,wipw_FULL_std,watt_FULL_std,pscore_FULL_lasso,wipw_FULL_lasso,watt_FULL_lasso,pscore_FULL2_std,wipw_FULL2_std,watt_FULL2_std,pscore_FULL2_lasso,wipw_FULL2_lasso,watt_FULL2_lasso,pscore_RICH_std,wipw_RICH_std,watt_RICH_std,pscore_RICH_lasso,wipw_RICH_lasso,watt_RICH_lasso
4105904,1,0.44769919087227505,2.2336426341348736,1.0,0.42946085264212025,2.3285009421646246,1.0,0.6512240590444941,1.5355698029142935,1.0,0.6010501758075166,1.663754608600672,1.0,0.6057749398443267,1.6507780930273908,1.0,0.5402412633552757,1.85102484358433,1.0,0.717527791725106,1.3936742402628952,1.0,0.6342883147935668,1.5765701127971377,1.0
4106001,0,0.0038008307975359447,1.0038153322297776,0.0038153322297777154,0.006305106323460606,1.006345112935151,0.006345112935151099,0.009637226823879125,1.009731006743087,0.009731006743086952,0.013241799071389924,1.0134194973590576,0.013419497359057612,0.03027917374125584,1.0312246297298524,0.031224629729852425,0.03487276914655574,1.0361328206600475,0.03613282066004748,0.004184454531497142,1.0042020377674747,0.004202037767474774,0.0073480039069946275,1.0074023967472143,0.007402396747214282
4106100,0,0.0050415103300241034,1.005067055944913,0.005067055944913194,0.007412293243142539,1.007467645622331,0.007467645622331126,0.007180691847558812,1.0072326271141134,0.007232627114113559,0.009519147895675241,1.0096106329319252,0.009610632931925284,0.025451658798816598,1.0261163635735566,0.026116363573556605,0.02799668236161631,1.0288030728430415,0.02880307284304144,0.003733881564569747,1.0037478756885094,0.0037478756885093714,0.006624932581130783,1.0066691150185043,0.006669115018504181
4106407,0,0.12767113678805225,1.1463566576462487,0.1463566576462486,0.12940963817389262,1.1486458429225535,0.14864584292255353,0.10462612909178712,1.1168518900218305,0.11685189002183047,0.09142996379000964,1.1006306175046237,0.10063061750462371,0.11145398556110869,1.125434117929718,0.12543411792971787,0.0962096306519391,1.1064512678104093,0.10645126781040923,0.054643733209776814,1.0578022647433323,0.05780226474333235,0.07702332812934715,1.0834510020423802,0.0834510020423802
4106605,0,0.4677796143385981,1.8789208886789976,0.8789208886789975,0.48096644098974317,1.9266576941708669,0.9266576941708669,0.4831087112471203,1.934642780327624,0.9346427803276242,0.5337638722820204,2.144835933016515,1.1448359330165152,0.4967365264805937,1.987030755494396,0.9870307554943961,0.5190078361581938,2.079035949385842,1.079035949385842,0.4176958645866429,1.7173156417481654,0.7173156417481654,0.47336461513671796,1.898846960804972,0.8988469608049722
4106704,0,0.01091934323786966,1.0110398916035983,0.011039891603598225,0.02494776527149662,1.025586080809756,0.025586080809755957,0.010654157967867103,1.0107688914383905,0.010768891438390528,0.025667458123087628,1.026343632199375,0.02634363219937511,0.19843282735639614,1.2475560802994912,0.24755608029949122,0.20808721007235614,1.2627653104218317,0.2627653104218317,0.005303388617657194,1.0053316645065142,0.005331664506514208,0.023729627591822258,1.0243064096406902,0.024306409640690113
4107108,0,0.35654764552911,1.5541166227020782,0.5541166227020782,0.3056701141264246,1.440237587846077,0.44023758784607675,0.3410170049756779,1.5174898404822896,0.5174898404822896,0.2947184377450785,1.4178734473120305,0.41787344731203047,0.13445521521741083,1.1553417195520204,0.1553417195520204,0.13241353934300634,1.1526228743158742,0.15262287431587404,0.20645025624800495,1.260160447247937,0.26016044724793713,0.26707373955320085,1.3643937377689128,0.3643937377689128
4107256,0,0.2557261552947481,1.343591484658474,0.3435914846584741,0.2977772014115901,1.4240494640877142,0.42404946408771416,0.3623808454536779,1.5683343150371927,0.5683343150371927,0.3550127165453182,1.5504181642834856,0.5504181642834857,0.3275497131471053,1.4870987782309624,0.4870987782309625,0.31038241554705576,1.450079032995184,0.450079032995184,0.20844806314778455,1.263340980475299,0.2633409804752992,0.29658570716560195,1.4216373056204388,0.42163730562043883
4107504,0,0.1914245029016477,1.2367428936303315,0.23674289363033157,0.1976069229897917,1.2462719690031394,0.24627196900313944,0.23001349836569776,1.2987240657823123,0.2987240657823122,0.1958043395318962,1.2434784831068637,0.24347848310686357,0.2172349485547446,1.2775225441576035,0.2775225441576034,0.1952918317472472,1.2426865284234414,0.24268652842344146,0.27752207805959406,1.3841253409020928,0.3841253409020928,0.1964940069062764,1.2445457888244484,0.24454578882444838
4107702,0,0.05716131570847267,1.060626824780132,0.06062682478013205,0.04886371698600805,1.0513740437187056,0.051374043718705686,0.025600998899553282,1.0262736300741693,0.02627363007416936,0.024170558094520775,1.0247692445590937,0.024769244559093743,0.02889972993391626,1.0297597795250841,0.029759779525084077,0.034076259243912964,1.0352784156824217,0.03527841568242169,0.030757958070980397,1.0317340320997268,0.031734032099726944,0.023884983886113115,1.0244694359699578,0.024469435969957837
