geocode,delta_queima_ar6,delta_cana_dir_ar6,delta_fert_n_ar6,delta_calagem_ar6,delta_res_outros_ar6,balanco_so_robustos_ar6,balanco_liquido_total_ar6
3528858,30.09772536467495,838.5548930908819,473.1194310794405,45.536116562264986,-13.095590333532138,1344.1148503990555,1374.2125757637305
3529203,172.49181819267653,4463.954748361845,2389.8701692482828,301.1045145877035,-542.5385782198275,6612.390853978004,6784.882672170681
3529500,46.05173419795067,1292.52783522696,738.1346649889385,73.74780573024611,-64.46030218942435,2039.9500037567202,2086.0017379546707
3529609,33.505528436121786,932.5714120300707,527.145675474287,56.875927693757575,-37.58428999826037,1479.008725199855,1512.5142536359767
3530102,142.75574020725452,3926.9820894516256,2204.432626298582,210.31786499741585,-191.01208195426236,6150.720498793361,6293.476239000615
3530201,111.96595531547925,3108.10570666351,1775.9672908743144,186.70649285761428,-367.48428968642565,4703.295200709013,4815.261156024492
3530508,124.52043420871644,3469.2015278073295,1999.7758802449184,264.62149366376923,-259.45291691182155,5474.145984804195,5598.666419012911
3531407,101.7004791297967,2848.269262815544,1607.1770282475998,183.81076109653625,-144.03656219835938,4495.220489961321,4596.9209690911175
3531902,588.3199865475938,16430.850760828896,9323.964949112995,969.2069672252026,-385.8286285794865,26338.194048587608,26926.514035135206
3532207,131.91432748237838,3624.5257281758954,1988.988929996826,171.70727480587024,-38.29244490848056,5746.929488070111,5878.843815552489
3532900,46.02215369188255,1273.9296103118206,723.2638775696962,81.33801038415018,-37.661823627024084,2040.869674638643,2086.891828330525
3533205,48.55799179286891,1355.5035744065065,771.4176476939112,75.36154364258272,-30.953124953508947,2171.3296407894914,2219.8876325823603
3533502,263.420560371455,7351.0934431180685,4167.927589555973,364.7793859248257,-186.15583424006144,11697.644584358804,11961.065144730259
3533908,256.9752293586004,7187.409803508987,4069.6668705270095,403.09481451551284,-104.19330207116923,11555.97818648034,11812.95341583894
3534005,48.9384151785687,1368.5546777627067,781.0147461045236,87.11024586844343,-36.782249245784776,2199.897420489889,2248.8358356684575
3534203,66.28160827886306,1900.71660928799,1118.076526457582,127.96078321883783,-34.436241792133025,3112.3176771722765,3178.5992854511396
3534708,99.039447015895,2760.816269219728,1575.4007677660327,212.33733994038974,-119.17745089924537,4429.376926026905,4528.4163730428
3534757,41.95761385787744,1171.7179709871975,665.8036302020466,86.65122543798182,-70.00957222451434,1854.1632544027116,1896.120868260589
3535002,213.21242456699215,6046.029478266777,3506.912173165961,305.87481050217866,-156.14241027589912,9702.674051659018,9915.88647622601
3535507,264.223413194946,7354.932577853611,4114.6714035975765,485.26257787705737,-353.83064431434457,11601.035915013901,11865.259328208847
3535705,47.43795422338172,1330.5566283231844,751.6147088867843,71.68073857603693,-21.471719717525733,2132.38035606848,2179.8183102918615
3536000,40.27864463986802,1129.161104396931,649.8427096076686,100.07601875647123,-164.1604135752539,1714.9194191858169,1755.198063825685
3536307,111.74472631374663,3114.1231326033276,1766.392204571673,197.0529729802465,-75.64904046716227,5001.919269688085,5113.663996001831
3536406,67.65585494750559,1875.2706098274966,1056.3299894293755,101.40015645605904,-46.297378043017346,2986.7033776699136,3054.359232617419
3537404,142.69915711950645,3972.663694737855,2249.6703194354213,237.91675516118485,-207.30055113582708,6252.9502181986345,6395.64937531814
3539301,141.05530562075631,3933.7646113452115,2265.7247705576556,339.63216747863936,-244.80674704881017,6294.314802332697,6435.370107953452
3539509,217.77071988047757,6076.478818583937,3443.7678323049254,295.54375213218583,-70.42117901173351,9745.369224009315,9963.139943889792
3539608,64.1340907786331,1803.3120788708313,1034.2773671651416,102.02482548773911,-50.513696412321785,2889.1005751113908,2953.2346658900237
3540200,156.55621390700216,4361.73436051096,2461.1396830938916,236.95961135573148,-88.1841324261952,6971.649522534389,7128.205736441391
3540309,60.39177911119002,1689.9880679554294,968.1435249294303,112.66913324711985,-88.3622237774025,2682.4385023545774,2742.8302814657673
3540804,105.78157364635229,2995.3540422293077,1722.1399904667076,152.3724854219443,-91.72079129986915,4778.14572681809,4883.927300464443
3540903,91.5851966326141,2558.91368438148,1458.091961643187,123.94178581326864,-18.89891422311507,4122.04851761482,4213.633714247434
3541406,26.40038547674614,746.0201356972123,423.31326465330585,49.69315896537555,-130.6652598918552,1088.3612994240384,1114.7616849007845
3541604,109.41547183040858,3037.882100614227,1773.3294814202638,211.41813345691685,-193.45660940297026,4829.173106088437,4938.588577918846
3541703,149.65512468289737,4144.015744500457,2330.3328662009485,239.09018161292246,-153.2947275422031,6560.144064772125,6709.799189455023
3541802,66.76212744147983,1891.4360707631438,1093.7582698648089,102.82779773611006,-51.569326742400044,3036.4528116216625,3103.2149390631425
3542107,37.70220608706193,1050.3835085139851,592.6779088474618,56.68539185555658,-4.916230014528095,1694.8305792024755,1732.5327852895375
3544004,80.96274403884199,2252.7913492779567,1266.0893460707032,132.92222099499367,-9.328975743516178,3642.473940600137,3723.4366846389794
3545506,129.16822634005882,3722.77867587576,2303.85652348432,269.05599511985463,-73.31359766024516,6222.37759681969,6351.545823159749
3545704,38.0201273121293,1050.9834101780305,601.6684858166951,45.933366181457984,-57.703672730632775,1640.881589445551,1678.9017167576803
3547502,102.45528350397518,2877.3135065557262,1642.2997029897456,170.31378550025545,-80.76248827840456,4609.164506767323,4711.6197902712975
3549102,52.07623205549314,1447.7255660797605,843.7725897418013,154.2925721065276,-216.06403591583575,2229.726692012254,2281.802924067747
3549409,149.70484865924251,4170.5537514547395,2357.3532896639413,264.1874360951081,-116.96170238043474,6675.132774833353,6824.837623492596
3550100,161.63412566479573,4467.181159111118,2505.1437886881076,268.45616874070214,-21.33340685426694,7219.447709685661,7381.0818353504565
3551306,40.46226912918998,1133.1274042838068,644.4392027642775,60.538081169133925,-25.258127285222542,1812.8465609319956,1853.3088300611855
3551504,40.97773910222475,1138.616861718416,644.8451007485598,63.558260304309485,-20.15767188447169,1826.8625508868136,1867.8402899890384
3551702,181.71766724808808,5082.990371593979,2877.5875504335067,263.42847409904806,-128.71335579508738,8095.293040331446,8277.010707579535
3551900,43.24325768628459,1207.9900738193874,687.5004469968331,70.90253747071198,-17.357533214755506,1949.0355250721768,1992.2787827584616
3552304,73.12237209117043,2069.4993614073055,1187.3546587108115,129.45692255011923,-97.27993945871361,3289.031003209522,3362.1533753006925
3552551,47.68167084834613,1338.0694552550817,771.9572744654904,80.29933870273364,-100.08949141403306,2090.2365770092724,2137.918247857619
