Cidade,uf,ano,solos_pipeline,solos_cana_residuo,solos_cana_subproduto,solos_cana_atribuivel,share_cana
Jacupiranga (SP),SP,2024,1817.8756850037992,0.1569397514331792,0.1163193231688805,0.27325907460205967,0.00015031780052742638
Jacutinga (MG),MG,2012,7701.108135188662,430.0322345683547,309.963344699809,739.9955792681637,0.09608949339211366
Jacutinga (MG),MG,2013,7431.163707076636,428.9456063280961,365.7581059653909,794.703712293487,0.10694202733505888
Jacutinga (MG),MG,2014,5311.714165819438,252.23873831549594,207.9386776285737,460.17741594406965,0.08663444635354886
Jacutinga (MG),MG,2015,4473.1927774116675,217.0938463385365,178.5871634249549,395.6810097634914,0.08845606023544665
Jacutinga (MG),MG,2016,5186.733547778864,202.02099490350963,160.17395830225678,362.1949532057664,0.06983103139371226
Jacutinga (MG),MG,2017,2806.809684312093,13.002748009580687,10.534312907171543,23.53706091675223,0.008385698912294017
Jacutinga (MG),MG,2018,3632.627792905276,59.88439870200428,48.23711984307429,108.12151854507857,0.029763995847921967
Jacutinga (MG),MG,2019,3391.2813150202574,62.47474694239662,55.15327837901786,117.62802532141448,0.03468542252759466
Jacutinga (MG),MG,2020,3793.803581996201,71.4378910864135,60.73560186162949,132.173492948043,0.03483930838572743
Jacutinga (MG),MG,2021,3955.36552673537,82.21266548567462,68.21038718929425,150.42305267496886,0.038030126838649765
Jacutinga (MG),MG,2022,3965.7552704910217,91.1053043171271,76.4392000631322,167.5445043802593,0.04224781736456337
Jacutinga (MG),MG,2023,3942.49303844165,73.99937891631285,62.73204572110113,136.73142463741397,0.034681462542660524
Jacutinga (MG),MG,2024,4000.758473420599,87.2135537227973,75.75424803161518,162.96780175441248,0.040734226481579386
Jacuí (MG),MG,2012,3883.9681284964595,75.25564104946208,54.24358532246656,129.49922637192864,0.03334198996685889
Jacuí (MG),MG,2013,3602.87410984389,75.06548110741682,64.00766854394341,139.0731496513602,0.03860061312477725
Jacuí (MG),MG,2014,3719.5053844325853,37.92923250225606,31.26781596933369,69.19704847158975,0.01860383070319062
