Cidade,uf,corr_pearson,corr_spearman
Atibaia (SP),SP,0.681568858793286,0.5272727272727272
Augusto de Lima (MG),MG,0.9291294680152973,0.8545454545454545
Auriflama (SP),SP,0.9313049303368881,0.9030303030303031
Avanhandava (SP),SP,0.989507885887858,0.9757575757575757
Avaré (SP),SP,0.36706221160290253,0.4909090909090909
Avaí (SP),SP,0.8804822280662897,0.8787878787878788
Avelinópolis (GO),GO,0.6289879594582573,0.22424242424242424
Açucena (MG),MG,0.9618784414795174,0.9636363636363636
Bady Bassitt (SP),SP,0.8400409930982856,0.793939393939394
Baependi (MG),MG,0.41638360578256217,0.33734954246999327
Balbinos (SP),SP,0.969061412395475,0.8545454545454545
Baldim (MG),MG,0.9833000631564738,0.9272727272727272
Bambuí (MG),MG,0.7853340230677739,0.38181818181818183
Bananal (SP),SP,-0.6315881241974795,-0.7818181818181819
Bandeira (MG),MG,0.8997894863097556,0.9030303030303031
Bandeirantes (PR),PR,0.768699903372658,0.38181818181818183
Barbacena (MG),MG,0.48343494079202765,0.11880802590133725
Barbosa (SP),SP,0.9955170918794185,0.9636363636363636
Barbosa Ferraz (PR),PR,0.12019841580553883,0.0
Bariri (SP),SP,0.11285122200405813,-0.09090909090909091
Barra Bonita (SP),SP,0.818653415096235,0.6848484848484848
Barra Longa (MG),MG,0.8969066488614744,0.9636363636363636
Barra do Bugres (MT),MT,0.7128728899657394,0.696969696969697
Barra do Chapéu (SP),SP,-0.32193269524336227,-0.3751832396884334
Barra do Garças (MT),MT,-0.7462935537668051,-0.7176240840571119
Barra do Jacaré (PR),PR,0.7391378498085645,0.5393939393939394
Barra do Turvo (SP),SP,-0.8503173457612675,-0.8896375227527809
Barracão (PR),PR,0.5454628708091604,0.41818181818181815
Barretos (SP),SP,0.9157842191928605,0.8909090909090909
Barrinha (SP),SP,0.8558497249013048,0.6484848484848484
Barro Alto (GO),GO,0.6097948831745722,0.15151515151515152
Barroso (MG),MG,0.831569804081193,0.7818181818181819
Barão de Cocais (MG),MG,0.9882398905265832,0.9636363636363636
Barão de Melgaço (MT),MT,-0.41457969751973095,-0.04242424242424243
Barão de Monte Alto (MG),MG,0.9154666254167699,0.806060606060606
Bastos (SP),SP,0.9704365968163913,0.9636363636363636
Batatais (SP),SP,0.19722800253943043,0.3090909090909091
Batayporã (MS),MS,0.8259006971328406,0.8666666666666667
Bauru (SP),SP,0.9257650263395112,0.8787878787878788
Bebedouro (SP),SP,0.8016656305157991,0.806060606060606
Bela Vista (MS),MS,-0.5813456800718366,-0.41818181818181815
Bela Vista da Caroba (PR),PR,-0.17960888320771348,-0.2606060606060606
Bela Vista de Goiás (GO),GO,0.5521082476172313,0.5222329678670935
Bela Vista de Minas (MG),MG,0.854485356931447,0.9191989372366619
Bela Vista do Paraíso (PR),PR,-0.0590080057851214,0.06054991787922956
Belmiro Braga (MG),MG,0.5342822551362194,0.5272727272727272
Belo Oriente (MG),MG,0.9737540230051115,0.5272727272727272
Belo Vale (MG),MG,0.11760854686755397,0.4303030303030303
Bento de Abreu (SP),SP,0.7491961575296548,0.4666666666666667
Berilo (MG),MG,0.2528456396842351,0.296969696969697
Berizal (MG),MG,-0.41501469369191707,-0.3575757575757576
Bernardino de Campos (SP),SP,0.3113635869565266,0.21212121212121213
Bertópolis (MG),MG,0.3337826783734457,-0.05627748595326502
Betim (MG),MG,0.36659964388292104,0.6727272727272727
Bias Fortes (MG),MG,0.8836053149438959,0.7191012094028307
Bicas (MG),MG,0.9577628799427791,0.9878787878787879
Bilac (SP),SP,0.5991457867879452,0.7818181818181819
Biquinhas (MG),MG,0.7072770414089072,0.6121212121212121
Birigui (SP),SP,0.7815049159700148,0.8424242424242424
Bituruna (PR),PR,0.6462914147337444,0.6363636363636364
Boa Esperança (MG),MG,0.4305643735448044,0.3708223816448394
Boa Esperança do Iguaçu (PR),PR,-0.5534506437976427,-0.5151515151515151
Boa Esperança do Sul (SP),SP,0.7206150227513227,0.6606060606060606
Boa Ventura de São Roque (PR),PR,-0.4116667428294748,-0.5222329678670935
Boa Vista da Aparecida (PR),PR,-0.654913073609262,-0.6363636363636364
Bocaina (SP),SP,0.6464209561280287,0.40606060606060607
Bocaina de Minas (MG),MG,0.733608939513269,0.45454545454545453
Bocaiúva (MG),MG,0.9874872992540229,0.9757575757575757
Bodoquena (MS),MS,0.7407129395432825,0.6606060606060606
Bofete (SP),SP,-0.2911845983702918,-0.4303030303030303
Boituva (SP),SP,0.8079419569218933,0.44242424242424244
Bom Despacho (MG),MG,0.8589219960775704,0.806060606060606
Bom Jardim de Goiás (GO),GO,-0.486274919754546,-0.7006490497453707
Bom Jardim de Minas (MG),MG,0.9648800907005293,0.8424242424242424
Bom Jesus de Goiás (GO),GO,0.8544484818365569,0.8545454545454545
Bom Jesus do Amparo (MG),MG,0.9454816470762416,0.9636363636363636
Bom Jesus do Galho (MG),MG,0.7544329340268614,0.8303030303030303
Bom Jesus do Sul (PR),PR,0.4792581411219879,0.21212121212121213
Bom Sucesso (MG),MG,-0.2648349818016437,-0.40606060606060607
Bom Sucesso (PR),PR,0.34570472058761054,0.5515151515151515
Bom Sucesso do Sul (PR),PR,0.7391683066304917,0.696969696969697
Bonfim (MG),MG,0.9590620633733467,0.8545454545454545
Bonfinópolis (GO),GO,0.5008101969599164,0.5222329678670935
Bonfinópolis de Minas (MG),MG,-0.3458485106532828,-0.296969696969697
Bonito (MS),MS,-0.4496921474145375,-0.23636363636363636
Bonito de Minas (MG),MG,0.8829058797666439,0.8666666666666667
Boracéia (SP),SP,0.6357447835988658,0.5272727272727272
Borborema (SP),SP,0.7129096243051724,0.8181818181818182
Borda da Mata (MG),MG,0.369675485388116,0.5151515151515151
Borebi (SP),SP,0.9421486925006376,0.9393939393939394
Borá (SP),SP,0.7123796059061792,0.8181818181818182
Botelhos (MG),MG,-0.8293068308627847,-0.5151515151515151
Botucatu (SP),SP,0.9512124593802916,0.9515151515151515
Botumirim (MG),MG,0.21229155275635392,0.3090909090909091
Braganey (PR),PR,-0.35733067877789954,-0.23636363636363636
Bragança Paulista (SP),SP,-0.21781529181751794,-0.45454545454545453
Brasilândia (MS),MS,0.7229849626683027,0.6363636363636364
Brasilândia de Minas (MG),MG,-0.15015795540647392,0.11515151515151516
Brasilândia do Sul (PR),PR,-0.059537494401387565,0.058025885318565944
Brasnorte (MT),MT,0.9054460947961851,0.9264501099011717
Brasília de Minas (MG),MG,0.5836881582122067,0.7333333333333333
Brazabrantes (GO),GO,0.9719890668458369,0.812776759390954
Brazópolis (MG),MG,0.9740820912566684,0.9636363636363636
Braúna (SP),SP,0.8988055992403254,0.9636363636363636
Braúnas (MG),MG,0.9837764433856558,0.8666666666666667
Brejo Alegre (SP),SP,0.8304385501480497,0.8303030303030303
Brodowski (SP),SP,0.823483052499301,0.8787878787878788
Brotas (SP),SP,0.7784680828276441,0.7333333333333333
