Cidade,uf,share_cana_mean,share_cana_median,solos_pipeline_total,solos_cana_atribuivel_total,n_anos
Americana (SP),SP,0.3512862581280089,0.3759224745082755,24445.51108648849,9160.547241644425,10
Americano do Brasil (GO),GO,0.07649272651051965,0.05206248095729592,52702.59946797223,8334.195889368308,10
Amorinópolis (GO),GO,0.0005220587436714247,0.0,71289.50957400256,18.262040444817877,10
Amparo (SP),SP,0.17163204835505025,0.1615718648266919,56424.63434185665,9727.858499090618,10
Amparo do Serra (MG),MG,0.02035964591667978,0.019583594763381493,15377.918329826241,313.12021706253825,10
Ampére (PR),PR,0.0006886309951930211,0.000729115664485455,99452.07027002587,66.96141909971483,10
Américo Brasiliense (SP),SP,0.40347146792045263,0.3982105111069751,144608.9521728187,58073.63398513632,10
Américo de Campos (SP),SP,0.35776237368403585,0.3544001025503639,147221.11216603476,52956.3344106662,10
Anahy (PR),PR,0.00100757480868575,0.0009768803636908197,82834.00382463736,85.59925244074435,10
Analândia (SP),SP,0.3747627689747428,0.3732165831892116,175602.3763525583,65639.46334879617,10
Anastácio (MS),MS,0.000552020474383524,0.00022757492258810902,250528.20495168303,122.19347069225917,10
Anaurilândia (MS),MS,0.014995496413290978,0.0,365905.12494314485,6064.708845573257,10
Andirá (PR),PR,0.08174178809894406,0.07748458374750092,473934.2449627409,38075.2756790416,10
Andradas (MG),MG,0.00177584614086477,0.0012328300962632685,54013.03246819345,93.75586741178438,10
Andradina (SP),SP,0.3777480409453703,0.37645844757056224,632839.9401113293,237699.07199975598,10
Andrelândia (MG),MG,0.008736946266316046,0.009725005018609484,80646.0291597641,728.1312372825128,10
Angatuba (SP),SP,0.015185487409154952,0.01517876670107446,188478.50870443287,2728.1819378041273,10
Angelândia (MG),MG,0.0035331503260440495,0.003631202340346997,18446.420631034194,65.10655664231004,10
Angélica (MS),MS,0.25527069198536245,0.2564465269450489,1385932.328685692,349066.6098127891,10
Anhanguera (GO),GO,0.00829390405602435,0.008353635764800704,3845.6397330643913,27.65106424107265,10
Anhembi (SP),SP,0.3355496344516681,0.3306198232195745,235769.09979909676,79196.84568961864,10
Anhumas (SP),SP,0.33510521046688097,0.3317700041602609,159248.9068694456,53214.529527970815,10
Anicuns (GO),GO,0.16618051156353836,0.1752677477345726,389495.92687334487,63623.65857898662,10
Antonina (PR),PR,0.006550816989324831,0.0065250434038103215,26942.421310938324,176.3422486062799,10
Antônio Carlos (MG),MG,0.0015442455192261242,0.0007433159573147297,26062.055349747352,38.82667441073022,10
Antônio Dias (MG),MG,0.005248918181901477,0.004504017732370621,16975.337837100185,90.52125247241025,10
Antônio João (MS),MS,0.0,0.0,459039.80852452805,0.0,10
Antônio Olinto (PR),PR,0.0,0.0,103034.02140065914,0.0,10
Antônio Prado de Minas (MG),MG,0.014695096220351655,0.007451366417028568,6542.985530674699,155.9633188632817,10
Anápolis (GO),GO,0.00048515694725732514,0.0,94275.64619110017,32.82857411939386,10
Aparecida (SP),SP,0.0,0.0,12879.882142217291,0.0,10
Aparecida d'Oeste (SP),SP,0.2684036036094727,0.27226648273227566,37444.34127012062,10117.671580663422,10
Aparecida de Goiânia (GO),GO,0.006402353102236143,0.008025294176356154,6769.739559342268,42.305183918534674,10
Aparecida do Rio Doce (GO),GO,0.0,0.0,55222.576161074976,0.0,10
Aparecida do Taboado (MS),MS,0.20866356762035382,0.21933294749272417,585618.528117052,122145.98583222121,10
Apiacás (MT),MT,1.9998663421480136e-05,0.0,199739.65975126752,3.432564417995337,10
Apiaí (SP),SP,0.0,0.0,89506.42997881224,0.0,10
Aporé (GO),GO,0.17527200592991982,0.1788635419610188,1033411.6968721608,177846.23092582257,10
Apucarana (PR),PR,0.0005417074252711372,0.00023634558787108726,244033.33271153428,117.05967634526999,10
Aquidauana (MS),MS,0.00021805611890795006,0.00023066770673075616,324469.6970886426,70.09844675567159,10
Aracitaba (MG),MG,0.01878376610332182,0.02154842586511876,7946.632329923059,154.05453737012158,10
Aragarças (GO),GO,0.10012777143483549,0.10161280012330962,50598.032649400084,5140.868111467151,10
Aragoiânia (GO),GO,0.005654492675900496,0.007394455063800107,18618.618532357286,91.01709065815028,10
Araguaiana (MT),MT,0.0,0.0,243510.16559355013,0.0,10
Araguainha (MT),MT,0.0037421174553165836,0.0038354395136999606,30238.036142160054,108.82954092680825,10
Araguapaz (GO),GO,0.0,0.0,116558.00516508493,0.0,10
Araguari (MG),MG,0.007354890465892332,0.00019741962824766537,780180.0292084364,5779.240372948555,10
Aral Moreira (MS),MS,0.0,0.0,1440884.996189357,0.0,10
Aramina (SP),SP,0.3670038728514229,0.36427309524313667,205566.15516615778,75156.52173431536,10
Arandu (SP),SP,0.040797372441716676,0.00838114503741412,87766.3990908036,3223.9831959598027,10
Arantina (MG),MG,0.020303887205163792,0.019322227636699708,4092.4140516162233,89.29618344743174,10
Arapeí (SP),SP,0.033843195987882574,0.037556387351197124,8694.0074139296,297.68269806612227,10
Araponga (MG),MG,0.003860317055247485,0.0023974019963456617,28913.79608994176,105.97924319805595,10
Arapongas (PR),PR,0.002192150024334728,0.0012307029247587233,229456.7317773342,471.7494883062131,10
Araporã (MG),MG,0.13781389359727433,0.13542107061967704,585838.6947407863,79811.29506490735,10
Arapoti (PR),PR,2.9311868360997567e-05,3.2885474470162745e-05,424293.40989344387,12.520319268174912,10
Araputanga (MT),MT,0.00019693048989729363,0.000189053575447733,121850.40239316247,23.86930185660702,10
Arapuá (MG),MG,0.0,0.0,13161.353793764916,0.0,10
Arapuã (PR),PR,0.011985941344981552,0.011028081404957273,151932.78925001225,1793.0478741303214,10
Araraquara (SP),SP,0.3882668111320606,0.3865935235321456,715722.1700603787,276853.77804211085,10
Araras (SP),SP,0.3832127672309793,0.37727717196258526,605990.7974461319,230413.076347328,10
Araruna (PR),PR,0.012563308360026369,0.01434932511639166,260369.98370358307,3269.9243836485157,10
Araucária (PR),PR,0.0,0.0,207973.38461416133,0.0,10
Araxá (MG),MG,0.05031291844812743,0.051098445078820914,343235.51275117835,17414.76008077792,10
Araçariguama (SP),SP,0.0,0.0,4543.912518506175,0.0,10
Araçatuba (SP),SP,0.3360696210892256,0.33355840594258923,630071.5691164912,210545.85678365998,10
Araçaí (MG),MG,0.00462439056398717,0.0,7780.022622267584,45.13864164656521,10
Araçoiaba da Serra (SP),SP,0.07284252816386465,0.06449999138757109,34929.863943508004,2448.244924815215,10
Araçu (GO),GO,0.05515476030423727,0.05361288257553011,27138.463087481876,2040.1968732928144,10
Araçuaí (MG),MG,0.010346601189493956,0.01060161211304614,74211.3853625553,764.3872977961164,10
Araújos (MG),MG,0.010566083664856563,0.007355829245547044,17717.71373194688,194.63839596593817,10
Arceburgo (MG),MG,0.09695004658872486,0.09443986416596463,55850.3372526837,5655.747076741532,10
Arco-Íris (SP),SP,0.2197818562563271,0.19837607230931298,109226.03758723586,25456.629649884107,10
Arcos (MG),MG,0.08759413409521331,0.08745485916087015,245841.3552181237,22068.593861773043,10
Areado (MG),MG,0.10078291522498503,0.10373348748371793,162810.7406841939,16370.37249813652,10
Arealva (SP),SP,0.3189847395646126,0.3199233293748882,187810.40672879256,59673.77565584947,10
Areias (SP),SP,0.010176290698495054,0.011231489836646343,13978.510624021945,142.58558460976377,10
Areiópolis (SP),SP,0.4143567592401114,0.4110333546680242,133416.91433905458,54846.61646224029,10
Arenápolis (MT),MT,0.05530339147526466,0.05706117745408051,141875.30291853234,7846.950950121247,10
Arenópolis (GO),GO,0.0002782082468265457,0.0,126376.77075443236,30.38502865061488,10
Argirita (MG),MG,0.0004899980201426021,0.0,8354.922632876904,4.14858534464381,10
Aricanduva (MG),MG,0.015121795254090875,0.011219450298673975,16057.359902615684,235.2456124060558,10
Arinos (MG),MG,0.0049380171437897,0.005902557559488642,260175.92539120122,1287.6750788280042,10
Aripuanã (MT),MT,0.001476925128611945,0.0015866967330835009,437298.915844162,652.4750380548813,10
Ariranha (SP),SP,0.3995766768556938,0.403407168541259,147004.43469682717,58686.63546419998,10
Ariranha do Ivaí (PR),PR,0.0015936541224580408,0.0,148092.89701041352,242.67351073537782,10
Artur Nogueira (SP),SP,0.28833840573877645,0.2865262225514985,90116.68790717165,25851.29287340024,10
Aruanã (GO),GO,0.0007794343133985337,0.0,179672.54055689846,190.05301942478656,10
Arujá (SP),SP,0.0,0.0,1752.8606344691166,0.0,10
Aspásia (SP),SP,0.30220079413632095,0.30815928124381015,19960.49502999925,6121.064344063123,10
Assaí (PR),PR,0.007127334015979069,0.007327369720800307,286668.62650823605,2006.6546927752815,10
Assis (SP),SP,0.2614131030639679,0.2530877325398191,335038.56221639476,87329.39415786021,10
